"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Settlement","","","2026-05-10T14:16:05.894Z","","","","","","KXLOWTDC-26MAY09-B55.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.907Z","","","","","","KXLOWTSEA-26MAY09-B47.5","","","","","","","1","0.98","1","0.09","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.906Z","","","","","","KXLOWTOKC-26MAY09-B53.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.903Z","","","","","","KXLOWTMIN-26MAY09-B44.5","","","","","","","1","0.99","0","0.00","no","1.07","","",""
"Settlement","","","2026-05-10T14:12:15.900Z","","","","","","KXLOWTATL-26MAY09-B57.5","","","","","","","1","0.99","0","0.00","no","1.10","","",""
"Settlement","","","2026-05-10T14:12:06.014Z","","","","","","KXLOWTAUS-26MAY09-B68.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.011Z","","","","","","KXLOWTCHI-26MAY09-B48.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.003Z","","","","","","KXLOWTLAX-26MAY09-T59","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:05.998Z","","","","","","KXLOWTDEN-26MAY09-T48","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.908Z","","","","","","KXHIGHTLV-26MAY09-B98.5","","","","","","","1","0.97","1","0.38","yes","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.899Z","","","","","","KXHIGHTBOS-26MAY09-B57.5","","","","","","","1","0.98","1","0.14","no","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.935Z","","","","","","KXHIGHCHI-26MAY09-B76.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.925Z","","","","","","KXHIGHMIA-26MAY09-B93.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.907Z","","","","","","KXHIGHNY-26MAY09-B67.5","","","","","","","1","0.99","0","0.00","no","1.09","","",""
"Settlement","","","2026-05-10T11:32:55.893Z","","","","","","KXLOWTHOU-26MAY09-B70.5","","","","","","","1","0.97","1","0.12","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.765Z","","","","","","KXLOWTNYC-26MAY09-B52.5","","","","","","","1","0.97","1","0.32","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.761Z","","","","","","KXHIGHTHOU-26MAY09-B83.5","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.755Z","","","","","","KXLOWTPHX-26MAY09-B72.5","","","","","","","1","0.97","1","0.16","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.750Z","","","","","","KXLOWTLV-26MAY09-B70.5","","","","","","","1","0.98","0","0.00","no","1.05","","",""
"Settlement","","","2026-05-10T11:32:40.744Z","","","","","","KXLOWTMIA-26MAY09-B75.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.944Z","","","","","","KXHIGHTATL-26MAY09-B78.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.938Z","","","","","","KXHIGHTSEA-26MAY09-B72.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.931Z","","","","","","KXHIGHLAX-26MAY09-T69","","","","","","","1","0.99","0","0.00","no","1.08","","",""
"Settlement","","","2026-05-10T11:32:15.909Z","","","","","","KXHIGHTMIN-26MAY09-B60.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.899Z","","","","","","KXHIGHTSATX-26MAY09-B87.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.857Z","","","","","","KXHIGHTDC-26MAY09-B70.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.851Z","","","","","","KXHIGHTNOLA-26MAY09-B78.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.846Z","","","","","","KXHIGHTSFO-26MAY09-B67.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.935Z","","","","","","KXHIGHPHIL-26MAY09-B66.5","","","","","","","1","0.98","1","0.06","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.930Z","","","","","","KXHIGHDEN-26MAY09-B73.5","","","","","","","1","0.98","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T16:37:27.041Z","","","","","","KXLOWTHOU-26MAY08-B64.5","","","","","","","1","0.97","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T16:37:16.993Z","","","","","","KXHIGHTHOU-26MAY08-B80.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Settlement","","","2026-05-09T12:03:06.959Z","","","","","","KXHIGHMIA-26MAY08-T93","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-09T12:02:57.052Z","","","","","","KXHIGHNY-26MAY08-B64.5","","","","","","","2","0.47","2","0.46","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:46.940Z","","","","","","KXLOWTSATX-26MAY08-T60","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.018Z","","","","","","KXHIGHTSATX-26MAY08-B79.5","","","","","","","1","0.96","1","0.34","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.012Z","","","","","","KXLOWTLAX-26MAY08-B58.5","","","","","","","1","0.97","1","0.30","yes","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.007Z","","","","","","KXLOWTPHX-26MAY08-B66.5","","","","","","","1","0.97","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.004Z","","","","","","KXLOWTSEA-26MAY08-B46.5","","","","","","","1","0.92","1","0.04","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.002Z","","","","","","KXLOWTSFO-26MAY08-B50.5","","","","","","","1","0.99","1","0.06","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:36.999Z","","","","","","KXLOWTDC-26MAY08-B45.5","","","","","","","1","0.98","1","0.08","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:36.991Z","","","","","","KXLOWTLV-26MAY08-B67.5","","","","","","","1","0.99","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.037Z","","","","","","KXHIGHTBOS-26MAY08-B64.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.018Z","","","","","","KXHIGHTLV-26MAY08-B97.5","","","","","","","1","0.98","1","0.25","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.014Z","","","","","","KXHIGHTSEA-26MAY08-B65.5","","","","","","","1","0.87","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.011Z","","","","","","KXHIGHTDC-26MAY08-B69.5","","","","","","","1","0.98","1","0.12","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.005Z","","","","","","KXHIGHTOKC-26MAY08-B85.5","","","","","","","1","0.97","1","0.26","yes","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.001Z","","","","","","KXLOWTPHIL-26MAY08-B48.5","","","","","","","1","0.98","1","0.17","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27Z","","","","","","KXLOWTDEN-26MAY08-B43.5","","","","","","","1","0.97","1","0.14","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:26.998Z","","","","","","KXLOWTMIA-26MAY08-B73.5","","","","","","","1","0.97","1","0.34","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:26.996Z","","","","","","KXLOWTNYC-26MAY08-B44.5","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:17.006Z","","","","","","KXHIGHTNOLA-26MAY08-B76.5","","","","","","","1","0.96","1","0.49","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:17.004Z","","","","","","KXHIGHTSFO-26MAY08-B66.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:06.959Z","","","","","","KXHIGHLAX-26MAY08-B68.5","","","","","","","1","0.96","1","0.58","yes","0.00","","",""
"Settlement","","","2026-05-09T11:08:06.942Z","","","","","","KXHIGHPHIL-26MAY08-B71.5","","","","","","","1","0.99","1","0.11","yes","0.00","","",""
"Settlement","","","2026-05-08T15:17:54.937Z","","","","","","KXLOWTDC-26MAY07-B53.5","","","","","","","1","0.97","0","0.00","no","1.19","","",""
"Settlement","","","2026-05-08T15:13:44.939Z","","","","","","KXLOWTPHX-26MAY07-B65.5","","","","","","","1","0.97","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-08T15:13:44.938Z","","","","","","KXLOWTATL-26MAY07-B63.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-08T11:34:55.003Z","","","","","","KXLOWTSFO-26MAY07-B50.5","","","","","","","1","0.98","0","0.00","no","1.09","","",""
"Settlement","","","2026-05-08T11:34:54.994Z","","","","","","KXLOWTLV-26MAY07-B63.5","","","","","","","1","0.97","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-08T11:34:54.991Z","","","","","","KXLOWTMIA-26MAY07-B72.5","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-08T11:34:44.942Z","","","","","","KXLOWTPHIL-26MAY07-B49.5","","","","","","","1","0.99","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-08T11:34:44.940Z","","","","","","KXLOWTNYC-26MAY07-B47.5","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-08T11:34:44.938Z","","","","","","KXLOWTLAX-26MAY07-B54.5","","","","","","","1","0.99","1","0.03","no","0.00","","",""
"Settlement","","","2026-05-05T12:03:01.499Z","","","","","","KXHIGHMIA-26MAY04-B85.5","","","","","","","3","0.91","0","0.00","no","3.00","","",""
"Settlement","","","2026-05-05T12:03:01.499Z","","","","","","KXHIGHMIA-26MAY04-B83.5","","","","","","","1","0.71","0","0.00","no","1.00","","",""
"Settlement","","","2026-05-05T12:03:01.499Z","","","","","","KXHIGHMIA-26MAY04-B79.5","","","","","","","1","0.82","0","0.00","no","1.00","","",""
"Settlement","","","2026-05-05T12:02:52.319Z","","","","","","KXHIGHCHI-26MAY04-T76","","","","","","","10","0.88","0","0.00","no","10.00","","",""
"Settlement","","","2026-05-05T12:02:52.319Z","","","","","","KXHIGHCHI-26MAY04-B82.5","","","","","","","10","0.81","0","0.00","no","10.00","","",""
"Settlement","","","2026-05-05T12:02:52.307Z","","","","","","KXHIGHNY-26MAY04-B76.5","","","","","","","0","0.00","0","0.00","no","0.00","","",""
"Settlement","","","2026-05-05T12:02:52.307Z","","","","","","KXHIGHNY-26MAY04-B70.5","","","","","","","1","0.87","0","0.00","no","1.00","","",""
"Settlement","","","2026-05-05T11:33:01.503Z","","","","","","KXHIGHLAX-26MAY04-B66.5","","","","","","","1","0.68","0","0.00","no","1.00","","",""
"Settlement","","","2026-05-05T11:33:01.503Z","","","","","","KXHIGHLAX-26MAY04-B64.5","","","","","","","0","0.00","1","0.36","no","0.00","","",""
"Settlement","","","2026-05-05T11:33:01.503Z","","","","","","KXHIGHLAX-26MAY04-B62.5","","","","","","","1","0.85","0","0.00","no","1.00","","",""